temp,pm1_0,humid,pm2_5,pm10,ps,rtc,createTime
25.57,146,51.37,236,263,988.37,1638015377,2021-11-27T12:16:31.817088Z
25.62,135,51.06,215,236,988.36,1638015408,2021-11-27T12:16:52.293899Z
25.59,138,51.15,226,253,988.36,1638015439,2021-11-27T12:17:21.840624Z
25.59,140,51.11,232,253,988.36,1638015470,2021-11-27T12:17:52.578579Z
25.6,137,51.15,227,256,988.37,1638015500,2021-11-27T12:18:22.851684Z
27.57,146,45.88,237,259,988.86,1638017748,2021-11-27T12:56:01.969222Z
27.44,136,46.18,223,248,988.85,1638017779,2021-11-27T12:56:22.503329Z
27.32,131,46.48,220,248,988.85,1638017809,2021-11-27T12:56:51.191241Z
27.19,136,46.82,223,251,988.85,1638017839,2021-11-27T12:57:21.346470Z
27.07,138,47.13,227,251,988.84,1638017870,2021-11-27T12:57:52.147288Z
26.96,138,47.4,228,252,988.85,1638017900,2021-11-27T12:58:22.439052Z
26.87,136,47.65,219,245,988.87,1638017931,2021-11-27T12:58:53.164899Z
26.79,142,47.87,233,260,988.89,1638017961,2021-11-27T12:59:23.282853Z
26.71,142,48.08,231,254,988.9,1638017991,2021-11-27T12:59:53.280675Z
26.63,140,48.28,231,258,988.89,1638018021,2021-11-27T13:00:23.491478Z
26.56,146,48.48,237,262,988.89,1638018052,2021-11-27T13:00:54.211503Z
26.29,138,49.7,231,258,988.93,1638018235,2021-11-27T13:04:15.676766Z
26.28,138,49.42,228,250,988.92,1638018265,2021-11-27T13:04:33.821251Z
26.25,141,49.44,233,256,988.92,1638018296,2021-11-27T13:04:57.804668Z
26.21,144,49.43,241,272,988.95,1638018326,2021-11-27T13:05:27.884956Z
